NSFTVID	Flowering_time_at_Arkansas	Flowering_time_at_Faridpur	Flowering_time_at_Aberdeen	FT_ratio_of_Arkansas_Aberdeen	FT_ratio_of_Faridpur_Aberdeen	Culm_habit	Flag_leaf_length	Flag_leaf_width	Panicle_number_per_plant	Plant_height	Panicle_length	Primary_panicle_branch_number	Seed_number_per_panicle	Florets_per_panicle	Panicle_fertility	Seed_length	Seed_width	Seed_volume	Seed_surface_area	Brown_rice_seed_length	Brown_rice_seed_width	Brown_rice_surface_area	Brown_rice_volume	Seed_length_width_ratio	Brown_rice_length_width_ratio	Straighthead_suseptability	Blast_resistance	Amylose_content	Alkali_spreading_value	Protein_content 
NSFTV_43	 92.250	 71	 99	0.932	0.717	6.500	24.342	1.283	3.740	 98.667	25.900	10.091	5.029	5.182	0.858	 7.577	3.179	2.254	3.729	5.586	2.720	3.347	5.756	2.383	2.054	8.167	7	24.985	5.944	 8.350
NSFTV_44	 81.833	 64	 93	0.880	0.688	8.000	37.617	1.717	3.546	136.000	28.645	10.364	5.330	5.378	0.953	 8.413	2.639	1.988	3.644	6.219	2.239	3.261	4.360	3.188	2.778	6.668	5	24.237	3.208	 7.550
NSFTV_45	 81.750	 65	 94	0.870	0.691	3.000	25.817	0.892	3.359	141.167	28.850	 7.900	4.549	4.677	0.880	 9.447	2.909	2.295	3.857	7.033	2.467	3.471	5.871	3.248	2.850	7.667	5	19.205	5.111	 9.050
NSFTV_46	 95.583	 76	122	0.783	0.623	3.000	39.789	1.367	3.126	127.250	21.911	 9.444	4.704	4.904	0.819	 9.847	2.981	2.413	3.941	7.431	2.567	3.562	6.662	3.303	2.895	8.167	1	22.195	5.667	 8.500
NSFTV_51	102.600	 77	175	0.586	0.440	5.400	27.950	1.080	3.235	123.143	23.975	10.889	4.933	5.137	0.815	 7.365	3.495	2.383	3.767	5.287	3.019	3.389	6.632	2.108	1.751	5.833	8	18.780	6.958	 8.600
NSFTV_53	 91.000	 78	100	0.910	0.780	4.000	31.922	0.867	3.314	152.500	30.800	 8.875	4.767	4.920	0.858	 9.833	2.411	1.971	3.719	7.407	2.068	3.340	4.303	4.079	3.581	8.332	4	20.975	5.667	 8.750
NSFTV_55	 74.917	 66	 84	0.892	0.786	2.000	27.211	0.878	3.415	101.333	25.556	 5.556	4.021	4.260	0.788	 8.936	3.299	2.505	3.934	6.477	2.708	3.497	6.679	2.709	2.391	6.085	6	17.210	6.917	11.900
NSFTV_58	 91.250	 77	101	0.903	0.762	6.000	40.058	1.408	3.581	129.167	24.156	10.111	5.133	5.232	0.906	 7.915	3.305	2.342	3.782	5.704	2.788	3.376	6.059	2.395	2.045	8.168	7	26.320	4.472	 8.050
NSFTV_59	 82.167	 70	 96	0.856	0.729	5.000	22.833	1.700	2.464	136.556	21.778	11.222	5.011	5.167	0.856	 7.270	3.395	2.257	3.680	5.113	2.896	3.302	5.800	2.141	1.766	6.835	7	18.245	4.042	 9.100
NSFTV_60	 82.333	 68	 88	0.936	0.773	4.500	34.475	1.450	2.983	128.917	27.127	10.333	5.110	5.436	0.722	 7.840	3.309	2.332	3.769	5.668	2.768	3.363	5.916	2.369	2.048	5.500	8	18.275	5.208	 8.900
NSFTV_61	 89.250	 75	 93	0.960	0.806	8.000	33.067	0.950	4.016	142.417	26.164	 8.167	4.593	4.787	0.824	 7.921	3.034	2.199	3.717	5.664	2.562	3.299	5.173	2.611	2.211	7.498	4	25.355	5.750	 7.550
NSFTV_65	100.750	 80	114	0.884	0.702	3.000	41.183	1.625	2.996	129.583	25.092	10.000	4.887	5.059	0.841	 9.708	3.234	2.541	3.994	7.190	2.708	3.587	7.239	3.001	2.655	7.333	4	23.463	5.083	 8.000
NSFTV_69	 93.250	 76	 85	1.097	0.894	2.000	32.350	1.258	2.913	113.583	24.400	12.091	5.130	5.306	0.839	 9.304	2.845	2.253	3.826	6.876	2.406	3.418	5.436	3.270	2.857	7.502	1	20.090	4.980	 9.500
NSFTV_70	 90.500	 77	108	0.838	0.713	3.000	27.417	1.567	3.016	128.000	23.227	 9.545	4.759	4.973	0.807	 8.639	3.177	2.370	3.844	6.342	2.729	3.466	6.455	2.719	2.324	8.332	3	18.380	4.750	 8.100
NSFTV_72	108.167	 73	133	0.813	0.549	1.667	28.667	1.411	3.558	 90.667	25.150	11.333	5.262	5.375	0.892	 8.418	2.878	2.207	3.762	6.299	2.445	3.367	5.316	2.925	2.576	8.500	1	23.130	7.000	 8.500
NSFTV_73	 91.417	 78	106	0.862	0.736	3.500	35.358	1.442	2.983	102.917	23.408	11.667	4.794	5.011	0.805	 9.897	3.153	2.526	4.000	7.326	2.622	3.567	6.836	3.139	2.793	7.498	1	14.220	2.083	 8.700
NSFTV_79	 76.250	 77	 88	0.866	0.875	3.000	27.900	1.108	3.076	 91.167	24.718	12.091	5.040	5.150	0.896	 8.559	3.266	2.410	3.854	6.102	2.759	3.442	6.389	2.621	2.211	4.667	7	10.587	6.375	 7.300
NSFTV_81	 83.250	 77	 92	0.905	0.837	6.333	34.433	1.311	3.491	139.333	26.178	 7.625	4.926	5.013	0.916	 9.496	2.653	2.137	3.783	7.018	2.227	3.381	4.899	3.579	3.152	7.332	1	25.430	4.875	 8.400
NSFTV_83	 79.000	 67	 79	1.000	0.848	3.800	23.990	0.890	3.281	106.600	19.622	10.667	4.871	5.060	0.827	 6.939	3.411	2.257	3.668	4.857	2.894	3.250	5.503	2.034	1.678	5.498	4	11.603	6.375	 8.100
NSFTV_84	 89.167	110	101	0.883	1.089	4.000	33.550	1.667	2.319	132.583	30.967	 9.917	5.231	5.606	0.687	 7.857	3.367	2.334	3.764	5.433	2.842	3.355	6.032	2.333	1.912	6.668	4	20.385	5.250	 9.300
NSFTV_88	 91.889	 78	 96	0.957	0.813	4.500	33.200	1.492	3.099	137.000	26.317	 9.000	5.357	5.511	0.857	 7.250	2.967	2.017	3.574	5.249	2.521	3.189	4.516	2.444	2.082	8.835	4	24.600	5.889	 8.400
NSFTV_89	 90.917	 78	114	0.798	0.684	3.000	36.050	1.558	2.442	114.667	24.000	11.167	5.521	5.672	0.859	 6.795	3.185	2.115	3.592	4.929	2.742	3.215	5.048	2.133	1.798	8.332	1	22.220	6.083	 7.900
NSFTV_92	 91.600	 78	 98	0.935	0.796	2.000	35.233	1.700	2.539	123.444	23.833	11.111	5.034	5.176	0.868	 7.973	3.697	2.562	3.893	5.797	3.112	3.502	7.659	2.157	1.863	8.833	1	17.533	4.611	 8.750
NSFTV_93	 88.250	 72	 88	1.003	0.818	5.667	28.444	1.122	3.659	150.444	29.088	 9.750	4.639	4.865	0.797	 9.469	2.415	1.902	3.659	7.040	2.077	3.287	4.073	3.921	3.390	8.002	6	17.147	3.750	 9.150
NSFTV_94	 83.917	 74	161	0.521	0.460	4.500	29.208	0.917	3.720	 93.167	21.467	 9.667	4.680	4.900	0.803	 7.324	3.437	2.324	3.730	5.100	2.890	3.301	5.776	2.131	1.765	6.002	4	15.453	6.667	 7.500
NSFTV_97	 98.375	 78	108	0.911	0.722	6.000	42.813	1.063	4.030	140.500	28.763	10.750	4.951	5.289	0.714	 7.260	3.111	2.125	3.632	5.138	2.628	3.221	4.887	2.333	1.955	8.668	2	23.613	5.556	 7.700
NSFTV_98	 83.833	 79	 90	0.931	0.878	3.000	25.238	1.138	3.099	 83.889	22.671	11.571	4.893	5.043	0.861	 9.971	2.496	2.103	3.800	7.521	2.138	3.408	4.830	3.995	3.518	3.502	5	26.340	3.958	 8.200
NSFTV_99	 90.167	 80	108	0.835	0.741	3.000	33.200	1.542	2.922	134.333	26.709	 9.909	4.753	5.012	0.772	 9.583	3.158	2.492	3.962	7.114	2.706	3.579	7.211	3.035	2.629	7.665	2	22.495	5.139	 8.950
NSFTV_100	 84.111	 78	122	0.689	0.639	1.667	27.622	1.611	2.979	114.889	23.944	11.556	5.033	5.341	0.735	 8.138	3.383	2.441	3.851	5.944	2.893	3.468	6.899	2.406	2.055	6.502	3	10.603	6.958	 8.700
NSFTV_101	 86.167	 79	 88	0.979	0.898	3.000	27.625	1.450	2.818	 86.167	27.450	11.083	4.894	5.209	0.730	 9.632	2.644	2.122	3.779	7.147	2.252	3.389	4.920	3.642	3.174	3.332	8	20.513	6.000	 9.500
NSFTV_103	 84.000	 78	108	0.778	0.722	2.500	30.175	1.050	2.958	 95.083	24.133	 9.778	4.882	4.999	0.889	 7.528	3.535	2.404	3.784	5.299	3.048	3.391	6.670	2.130	1.738	5.335	4	16.977	6.917	 7.750
NSFTV_105	 80.500	 80	 81	0.994	0.988	6.333	31.833	1.533	3.728	131.111	24.963	 8.000	5.042	5.116	0.929	 7.614	2.794	1.972	3.580	5.705	2.397	3.229	4.470	2.725	2.380	8.085	4	24.643	4.833	 7.200
NSFTV_107	 81.417	 46	 74	1.100	0.622	4.000	28.642	1.267	3.012	114.250	23.200	10.273	4.522	4.953	0.650	 9.943	3.080	2.483	3.978	7.444	2.566	3.566	6.717	3.228	2.901	7.000	0	18.880	5.375	 9.000
NSFTV_108	102.167	 74	119	0.859	0.622	1.000	41.000	1.583	2.478	112.778	29.183	12.500	5.111	5.280	0.845	 9.037	3.418	2.543	3.952	6.582	2.872	3.552	7.376	2.644	2.292	8.668	1	22.680	6.000	 9.350
NSFTV_113	 59.000	 53	 49	1.204	1.082	4.636	29.318	0.845	3.326	 90.909	18.760	 7.100	4.475	4.636	0.852	 7.333	3.388	2.301	3.718	5.146	2.871	3.302	5.746	2.165	1.793	6.332	5	15.380	7.000	 8.450
NSFTV_114	 84.583	 80	122	0.693	0.656	2.500	37.600	1.625	3.029	108.833	26.642	12.667	5.166	5.642	0.621	 8.138	3.232	2.328	3.790	5.993	2.791	3.429	6.348	2.518	2.147	7.000	3	14.030	6.958	 9.100
NSFTV_117	 82.750	 77	 77	1.075	1.000	7.000	24.075	0.975	3.929	135.083	25.456	 9.556	4.794	4.881	0.917	 7.898	3.241	2.311	3.769	5.467	2.627	3.289	5.254	2.437	2.081	8.000	4	 0.453	7.000	 7.950
NSFTV_118	 73.333	 65	 85	0.863	0.765	3.667	25.667	1.178	3.178	106.889	18.050	 9.833	4.716	4.812	0.909	 7.854	3.730	2.589	3.901	5.592	3.103	3.467	7.347	2.106	1.802	6.333	9	12.577	7.000	 7.950
NSFTV_120	 92.917	 79	114	0.815	0.693	1.500	34.808	1.583	2.979	135.083	26.091	11.273	4.931	5.043	0.894	 9.167	3.157	2.425	3.906	6.785	2.635	3.499	6.441	2.904	2.575	7.833	1	19.570	5.792	 8.350
NSFTV_121	 84.167	 66	126	0.668	0.524	2.500	32.533	1.008	2.803	113.667	22.109	10.727	4.728	5.065	0.714	 7.505	3.709	2.499	3.830	5.364	3.105	3.421	7.009	2.023	1.727	6.000	4	15.283	6.500	 8.200
NSFTV_125	 92.750	 80	 88	1.054	0.909	7.000	41.422	1.189	3.801	153.083	29.489	10.667	4.987	5.148	0.852	 8.212	3.069	2.252	3.761	5.854	2.588	3.341	5.443	2.676	2.262	8.333	6	23.590	5.833	 7.400
NSFTV_131	 80.778	 68	 91	0.888	0.747	4.200	34.710	1.510	3.453	139.600	27.070	 9.800	5.134	5.280	0.864	 8.348	2.753	2.110	3.662	5.929	2.292	3.227	4.546	3.032	2.586	9.000	6	27.207	5.875	 7.050
NSFTV_134	 81.600	 66	 88	0.927	0.750	4.636	31.373	1.282	2.477	110.818	21.809	12.091	5.184	5.370	0.830	 8.646	3.962	2.793	4.052	6.210	3.297	3.621	9.051	2.182	1.884	4.668	5	15.033	6.250	 9.900
NSFTV_139	 89.600	 78	114	0.786	0.684	3.000	33.060	1.190	2.603	107.100	28.790	14.500	5.522	5.730	0.812	 9.048	2.339	1.833	3.609	6.867	1.962	3.209	3.568	3.868	3.500	8.332	9	21.580	4.833	 8.200
NSFTV_140	 82.455	 64	 88	0.937	0.727	1.545	30.155	1.373	3.114	 99.818	22.920	10.300	4.842	5.245	0.668	 8.251	3.134	2.295	3.785	5.967	2.610	3.364	5.577	2.632	2.286	5.835	6	12.633	6.542	 8.950
NSFTV_142	111.889	 97	165	0.678	0.588	9.000	36.967	1.089	3.885	194.333	29.711	10.667	4.907	5.073	0.847	 8.161	2.889	2.129	3.697	5.819	2.406	3.267	4.716	2.825	2.419	8.835	1	25.235	7.000	 8.800
NSFTV_147	106.800	 80	147	0.727	0.544	1.000	31.950	1.444	2.759	105.917	22.667	12.778	5.576	5.709	0.876	 7.852	2.399	1.735	3.489	6.036	2.020	3.112	3.344	3.273	2.988	6.498	3	22.470	6.625	 7.500
NSFTV_149	104.000	 79	129	0.806	0.612	2.000	36.800	1.558	2.921	140.667	31.211	13.222	5.371	5.484	0.893	 9.352	2.823	2.250	3.831	6.999	2.352	3.421	5.335	3.313	2.976	8.665	6	22.970	6.000	 8.000
NSFTV_152	 83.167	 64	 93	0.894	0.688	4.500	31.900	1.242	3.463	153.667	27.458	 8.167	4.941	5.044	0.902	 9.395	2.196	1.734	3.579	6.791	1.820	3.139	3.126	4.279	3.732	8.000	4	26.110	5.625	 9.100
NSFTV_153	 84.250	 78	 93	0.906	0.839	5.500	31.542	1.192	3.212	143.833	28.233	 7.583	4.775	4.885	0.895	 9.497	2.571	2.077	3.754	7.066	2.140	3.351	4.587	3.693	3.302	7.667	3	27.600	6.000	 8.100
NSFTV_154	 76.917	 64	 92	0.836	0.696	3.000	24.933	0.983	3.016	113.333	19.525	10.500	4.592	4.791	0.819	 8.568	3.483	2.507	3.896	6.308	2.938	3.507	7.157	2.460	2.147	5.835	8	18.215	5.000	10.050
NSFTV_156	 93.833	 80	107	0.877	0.748	4.000	33.292	1.308	3.792	 98.083	26.300	12.417	4.985	5.144	0.853	 7.389	3.116	2.189	3.683	5.419	2.678	3.306	5.450	2.372	2.023	8.332	1	24.230	7.000	 8.100
NSFTV_157	 88.000	 80	143	0.615	0.559	3.667	34.244	1.122	3.267	 98.222	23.671	10.857	4.952	5.157	0.814	 7.399	3.363	2.309	3.733	5.272	2.921	3.357	6.221	2.200	1.805	5.332	2	18.907	7.000	 8.000
NSFTV_163	102.750	 96	148	0.694	0.649	8.000	28.922	0.967	4.100	143.917	27.100	10.778	5.066	5.232	0.846	 7.761	2.610	1.890	3.559	5.686	2.224	3.166	3.926	2.973	2.557	7.585	1	26.717	6.833	 7.400
NSFTV_164	104.833	 72	133	0.788	0.541	3.667	29.878	1.756	2.737	110.833	25.033	13.167	5.368	5.480	0.894	 8.875	3.254	2.387	3.854	6.331	2.736	3.467	6.484	2.727	2.314	7.000	7	20.500	6.759	 7.200
NSFTV_166	104.083	 78	100	1.041	0.780	5.500	36.779	1.067	3.553	161.000	30.609	 9.091	4.953	5.258	0.737	 8.776	2.869	2.209	3.779	6.264	2.428	3.355	5.202	3.059	2.580	8.667	9	27.487	6.167	 8.600
NSFTV_168	101.083	 78	113	0.895	0.690	4.333	34.967	0.950	3.577	159.444	32.200	10.000	4.839	5.180	0.711	 8.783	3.093	2.358	3.853	6.390	2.642	3.460	6.277	2.840	2.419	8.835	9	27.957	6.444	 7.700
NSFTV_171	 70.667	 60	 76	0.930	0.789	5.000	22.092	1.175	3.757	 87.167	22.092	 9.333	5.008	5.158	0.861	 8.880	2.988	2.294	3.822	6.391	2.527	3.417	5.781	2.972	2.529	5.002	1	25.287	3.444	 7.800
NSFTV_174	101.083	 78	118	0.857	0.661	2.000	39.533	1.544	2.478	151.667	31.243	14.429	5.088	5.277	0.828	 9.854	2.850	2.321	3.898	7.430	2.388	3.491	5.782	3.458	3.111	8.833	2	22.840	6.250	 9.000
NSFTV_176	 98.857	 91	157	0.630	0.580	2.000	36.758	1.892	2.668	131.667	26.292	14.500	5.152	5.319	0.847	 9.099	3.699	2.564	3.955	6.761	2.507	3.441	5.791	2.460	2.697	7.500	6	22.505	6.458	 9.800
NSFTV_177	 76.000	 65	 76	1.000	0.855	4.333	24.289	1.167	3.595	 90.000	20.367	10.500	4.894	5.021	0.881	 7.960	3.238	2.337	3.787	5.823	2.701	3.379	5.912	2.458	2.156	4.832	8	13.390	6.625	 7.600
NSFTV_179	 71.833	 66	 70	1.026	0.943	5.500	20.725	0.817	3.586	 97.417	20.775	10.250	4.659	4.743	0.919	 7.487	3.567	2.453	3.810	5.375	3.008	3.404	6.722	2.099	1.787	5.332	9	21.430	6.875	 8.700
NSFTV_180	 79.417	 67	123	0.646	0.545	4.500	31.858	1.000	3.110	112.750	25.600	 9.333	4.820	5.013	0.825	 7.188	3.594	2.422	3.775	5.230	3.088	3.402	6.876	2.000	1.694	6.498	8	18.943	6.875	 8.000
NSFTV_183	 94.000	 76	118	0.797	0.644	3.000	34.078	1.700	2.752	122.444	22.867	11.556	5.140	5.253	0.893	 8.687	3.093	2.335	3.832	6.503	2.641	3.454	6.167	2.809	2.462	8.332	1	23.870	5.750	 7.600
NSFTV_184	 83.750	 66	141	0.594	0.468	5.500	35.500	1.133	2.609	117.833	23.578	11.333	4.900	5.059	0.853	 7.370	3.990	2.640	3.895	5.310	3.245	3.456	7.617	1.847	1.636	8.000	7	19.425	7.000	 8.800
NSFTV_185	 92.500	 73	105	0.881	0.695	3.000	32.183	1.442	2.922	127.417	22.267	10.000	4.805	4.972	0.847	 9.432	3.163	2.453	3.932	6.898	2.660	3.529	6.723	2.982	2.593	8.332	3	22.743	5.708	 7.750
NSFTV_186	 87.500	 79	144	0.608	0.549	4.000	38.817	1.050	3.099	107.083	26.782	10.545	5.036	5.241	0.815	 7.434	3.499	2.398	3.778	5.337	3.000	3.392	6.596	2.124	1.779	5.000	5	17.143	6.458	 7.100
NSFTV_187	 76.333	 77	 87	0.877	0.885	3.000	27.525	1.275	2.697	106.000	25.100	12.083	5.117	5.223	0.900	 9.691	2.468	2.005	3.727	7.310	2.083	3.329	4.262	3.926	3.509	6.002	7	20.080	6.958	 8.300
NSFTV_189	 79.750	 77	 82	0.973	0.939	4.500	22.392	1.117	3.644	141.667	19.522	 7.889	4.723	4.850	0.880	 7.458	3.306	2.289	3.727	5.250	2.760	3.302	5.594	2.256	1.902	8.498	2	23.360	5.875	 8.050
NSFTV_191	 82.750	 61	105	0.788	0.581	4.500	27.708	0.892	3.150	152.000	31.158	 7.833	4.506	4.644	0.871	 9.518	2.763	2.195	3.803	7.012	2.352	3.417	5.320	3.444	2.981	8.165	7	19.475	5.083	 9.400
NSFTV_193	101.500	 66	142	0.715	0.465	3.000	42.344	1.878	2.450	120.182	27.689	12.889	5.593	5.801	0.812	 8.908	3.274	2.424	3.883	6.434	2.714	3.471	6.422	2.721	2.371	7.335	1	22.180	5.792	 8.400
NSFTV_195	 92.000	 79	107	0.860	0.738	3.000	31.217	1.550	2.723	 95.500	23.822	10.778	4.743	4.985	0.785	10.295	3.690	2.855	4.178	7.246	2.940	3.665	8.473	2.790	2.465	7.000	1	16.860	3.583	 8.200
NSFTV_198	 84.750	 75	100	0.848	0.750	4.000	21.558	1.317	3.205	 90.833	23.133	 9.000	4.887	5.027	0.869	 9.717	2.708	2.205	3.829	7.291	2.295	3.435	5.266	3.588	3.177	5.668	2	22.413	5.556	 9.800
NSFTV_201	105.667	 67	132	0.801	0.508	2.000	35.889	1.589	2.457	111.250	25.900	10.889	4.955	5.072	0.889	 9.348	3.535	2.634	4.012	6.759	2.967	3.608	8.065	2.644	2.278	8.835	2	23.740	6.042	 9.150
NSFTV_205	 78.250	 66	100	0.783	0.660	2.000	29.417	1.342	2.862	115.333	23.842	 9.417	4.949	5.038	0.915	 9.477	3.619	2.725	4.067	7.018	3.037	3.667	8.740	2.619	2.311	6.000	7	15.133	6.000	10.050
NSFTV_208	112.900	 77	130	0.868	0.592	5.000	42.244	1.189	3.787	141.000	24.389	13.333	5.069	5.182	0.893	 8.000	2.720	1.999	3.623	5.966	2.368	3.267	4.617	2.941	2.519	8.667	2	22.730	7.000	 7.500
NSFTV_209	 84.500	 77	 82	1.030	0.939	5.667	25.278	1.089	3.553	 88.556	24.067	11.667	5.051	5.123	0.930	 7.454	3.157	2.226	3.702	5.456	2.683	3.317	5.536	2.361	2.033	7.335	1	24.977	5.583	 7.500
NSFTV_204	 76.750	 76	 87	0.882	0.874	5.000	25.056	1.078	3.114	112.667	19.067	 8.222	4.673	4.891	0.804	 9.622	3.947	2.872	4.140	6.872	3.188	3.694	9.431	2.438	2.155	3.833	8	16.340	6.142	 9.050
NSFTV_211	 70.083	 66	107	0.655	0.617	3.667	23.792	1.083	3.083	101.167	20.367	 7.500	4.508	4.602	0.911	 8.923	3.605	2.610	3.969	6.059	2.956	3.498	7.221	2.475	2.050	6.665	6	 0.063	6.958	 9.700
NSFTV_213	 82.500	 70	 92	0.897	0.761	2.500	33.367	1.433	2.730	120.083	23.475	10.917	5.121	5.335	0.808	 9.410	3.368	2.579	3.991	6.827	2.741	3.546	7.040	2.794	2.490	5.832	8	12.797	2.000	 8.000
NSFTV_215	103.083	 73	116	0.889	0.629	1.000	32.450	1.450	2.876	101.083	22.517	10.000	4.899	5.006	0.898	 8.765	3.502	2.580	3.954	6.449	2.915	3.540	7.393	2.503	2.212	7.665	6	22.905	5.542	 8.700
NSFTV_217	 79.500	 70	100	0.795	0.700	3.000	31.383	0.917	2.862	120.750	28.209	11.455	5.200	5.387	0.829	 9.369	2.563	2.061	3.738	7.035	2.133	3.332	4.436	3.656	3.298	5.667	9	13.680	6.375	 8.600
NSFTV_219	 56.250	 52	 49	1.148	1.061	4.000	23.483	0.983	3.390	 87.750	18.267	 6.667	4.205	4.448	0.784	 9.015	3.450	2.588	3.978	6.611	2.905	3.570	7.637	2.613	2.276	6.165	9	17.555	6.250	 8.550
NSFTV_220	 62.833	 65	 59	1.065	1.102	3.500	30.867	1.025	3.543	 95.250	19.856	 7.889	3.979	4.176	0.821	 8.008	3.502	2.467	3.844	5.780	2.996	3.463	7.076	2.287	1.929	6.502	6	18.827	7.000	10.700
NSFTV_221	 72.667	 60	 80	0.908	0.750	5.167	29.783	0.925	3.171	117.000	22.975	 6.500	4.558	4.684	0.881	 8.332	2.883	2.132	3.708	6.029	2.411	3.286	4.750	2.890	2.500	7.502	8	16.890	5.833	 8.450
NSFTV_222	 79.750	 65	 73	1.092	0.890	7.500	29.942	1.100	3.834	143.250	27.008	10.750	4.862	4.976	0.892	 8.061	3.027	2.211	3.732	5.793	2.510	3.303	5.090	2.663	2.308	8.668	9	20.255	5.333	 9.050
NSFTV_223	 86.083	 80	 76	1.133	1.053	4.500	28.883	1.375	2.872	121.167	22.227	 8.818	4.840	5.018	0.836	 9.932	3.145	2.518	3.995	7.263	2.618	3.553	6.721	3.158	2.774	7.665	1	17.715	5.000	 9.100
NSFTV_225	 77.250	 64	 80	0.966	0.800	3.500	31.467	1.308	3.083	103.083	22.833	10.778	5.192	5.279	0.917	 7.942	3.917	2.689	3.957	5.681	3.301	3.542	8.400	2.027	1.721	5.002	9	13.580	6.167	 8.750
NSFTV_226	 78.750	 67	 92	0.856	0.728	3.000	28.075	1.592	2.639	100.000	23.258	10.250	4.846	4.978	0.877	 9.859	3.683	2.782	4.113	6.945	2.962	3.632	8.253	2.677	2.344	6.332	1	12.813	3.000	 8.800
NSFTV_232	 66.667	 58	 68	0.980	0.853	2.500	25.142	1.058	3.373	 70.583	15.633	 9.833	4.657	4.726	0.933	 7.020	3.494	2.315	3.704	4.910	2.982	3.290	5.877	2.009	1.646	5.167	8	13.910	6.833	 7.850
NSFTV_233	 69.583	 66	 68	1.023	0.971	3.500	22.042	0.883	3.139	 81.917	18.083	 8.250	4.434	4.571	0.872	 7.281	3.320	2.260	3.698	5.136	2.819	3.281	5.532	2.193	1.822	4.835	9	13.460	7.000	 7.950
NSFTV_234	 75.250	 61	 76	0.990	0.803	7.500	20.967	1.100	4.124	 83.500	23.764	 8.273	4.691	4.766	0.928	 8.013	3.132	2.265	3.755	5.786	2.627	3.343	5.534	2.558	2.203	4.665	4	22.150	5.000	 8.550
NSFTV_235	 82.917	 67	 76	1.091	0.882	5.500	28.208	1.183	3.689	139.500	25.364	 8.545	4.725	4.856	0.878	 7.930	3.029	2.209	3.725	5.839	2.568	3.341	5.432	2.618	2.274	8.835	2	23.363	5.875	 8.100
NSFTV_236	 82.083	 76	 92	0.892	0.826	3.500	27.250	1.158	3.239	117.250	22.922	10.333	4.902	5.187	0.751	 7.324	3.177	2.184	3.662	5.030	2.651	3.206	4.850	2.305	1.897	6.833	8	 0.353	6.667	 8.350
